Article ID	Weight	Quantity	Owner	Height	Width	Grade	Coating	Finish
2210/64638	11830	1	source2	1.75	1250.0	S235JR	geolied	-
2208/24752	21870	1	source2	1.75	1250.0	S235JR	geolied	-
2110/51990	18160	1	source2	1.75	1250.0	S235JR	geolied	-
2201/26092	19195	1	source2	1.75	1250.0	S235JR	geolied	-
2207/51058	21700	1	source2	1.75	1250.0	S235JR	geolied	-
2207/51065	21920	1	source2	1.75	1250.0	S235JR	geolied	-
2203/73939	20415	1	source2	1.75	1250.0	S235JR	geolied	-
2109/60576	22070	1	source2	1.75	1250.0	S235JR	geolied	-
2208/24769	21600	1	source2	1.75	1250.0	S235JR	geolied	-
2201/8128	21600	1	source2	1.75	1250.0	S235JR	geolied	-
2207/51041	21800	1	source2	1.75	1250.0	S235JR	geolied	-
2203/73892	20655	1	source2	1.75	1250.0	S235JR	geolied	-
2110/52027	20985	1	source2	1.75	1250.0	S235JR	geolied	-
2203/73915	20470	1	source2	1.75	1250.0	S235JR	geolied	-
2110/52010	20880	1	source2	1.75	1250.0	S235JR	geolied	-
2203/73922	20560	1	source2	1.75	1250.0	S235JR	geolied	-
